Price_Billion,Price_Per_m2,Area_m2,District,Ward,Bedrooms,Is_MatTien,Width_m,Floors,Is Hem,Post Time,Toilets,Post_Time
2.75,125,22,Quận 4,4,2,1,4.2,2,0,30/01/2024,2,1/30/2024
6.9,106.15,65,Quận 5,12,2,0,4.4,3,1,13/03/2024,3,3/13/2024
5.4,270,20,Quận 10,2,2,1,3.5,4,0,7/3/2024,3,3/7/2024
3.6,85.71,42,Nhà Bè,Nhà Bè,4,1,3.2,3.5,0,15/01/2024,3,1/15/2024
6,206.9,29,Quận 10,2,4,0,3.1,4,1,21/08/2024,4,8/21/2024
6.3,98.44,64,Thủ Đức,Trường Thọ,2,0,4,2.5,1,11/10/2024,2,10/11/2024
10.2,159.38,64,Quận 7,Phú Mỹ,5,1,5.04,4,0,17/05/2024,5,5/17/2024
4.95,85.34,58,Quận 6,7,3,0,3.6,3,1,4/3/2024,2,3/4/2024
18,225,80,Quận 2,Thảo Điền,2,0,4,2,1,7/9/2024,2,9/7/2024
17.9,33.4,536,Quận 12,Thạnh Xuân,4,0,12,4,1,14/04/2024,4,4/14/2024
17.69,92.14,192,Quận 12,Tân Chánh Hiệp,1,1,6,5.5,0,10/10/2024,1,10/10/2024
10,100,100,Quận 2,Thủ Thiêm,3,1,10,2,0,3/4/2024,2,4/3/2024
9,200,45,Quận 5,7,3,0,3.6,4,1,15/06/2024,3,6/15/2024
5.5,157.14,35,Tân Bình,7,2,0,3,2,1,25/02/2024,2,2/25/2024
6.5,89.04,73,Bình Thạnh,12,3,0,4.2,2,1,23/05/2024,2,5/23/2024
3.5,83.33,42,Quận 2,Bình Trưng Tây,2,1,6,1,0,10/10/2024,1,10/10/2024
11.9,119,100,Tân Phú,Tân Sơn Nhì,3,1,4,1,0,16/10/2024,1,10/16/2024
10.6,135.9,78,Tân Phú,Tân Sơn Nhì,3,1,12,3,0,31/03/2024,4,3/31/2024
3.99,142.5,28,Gò Vấp,8,2,0,4,2,1,29/03/2024,2,3/29/2024
7,84.34,83,Bình Thạnh,5,3,0,3.7,2,1,26/01/2024,2,1/26/2024
11,76.39,144,Bình Thạnh,12,4,1,6,5,0,31/10/2024,4,10/31/2024
16.5,48.25,342,Quận 12,Trung Mỹ Tây,2,1,9,1,0,31/07/2024,2,7/31/2024
7.5,85.23,88,Quận 9,Phước Bình,2,1,4,1,0,25/02/2024,1,2/25/2024
12.4,155,80,Tân Phú,Tân Sơn Nhì,3,1,4,4,0,7/7/2024,3,7/7/2024
5.6,155.56,36,Quận 10,2,5,1,5,2,0,11/3/2024,5,3/11/2024
11.9,119,100,Tân Phú,Tân Sơn Nhì,3,1,4,5.5,0,24/03/2024,3,3/24/2024
7,97.22,72,Quận 12,Tân Hưng Thuận,4,1,4,3.5,0,22/06/2024,4,6/22/2024
5.9,101.72,58,Bình Thạnh,12,4,1,4,3.5,0,24/12/2024,4,12/24/2024
3.8,115.15,33,Phú Nhuận,8,2,0,4.8,2,1,17/02/2024,1,2/17/2024
5.46,88.06,62,Quận 6,3,4,0,3.6,3,1,2/8/2024,4,8/2/2024
14,166.67,84,Bình Thạnh,11,4,0,6,5.5,1,8/6/2024,5,6/8/2024
14,166.67,84,Bình Thạnh,11,4,0,6,5.5,1,18/03/2024,5,3/18/2024
28,87.5,320,Quận 8,16,4,0,8,2.5,1,18/01/2024,3,1/18/2024
6.4,206.45,31,Quận 10,2,2,0,3.2,3,1,22/05/2024,3,5/22/2024
16,266.67,60,Quận 10,1,14,0,4.2,5.5,1,5/2/2024,15,2/5/2024
6.4,206.45,31,Quận 10,2,2,0,3.2,3,1,25/12/2024,3,12/25/2024
22,289.47,76,Quận 5,5,6,1,4.2,5,0,9/2/2024,7,2/9/2024
7.1,104.41,68,Tân Bình,10,9,0,3.8,4.5,1,23/05/2024,10,5/23/2024
23,280.49,82,Quận 10,2,11,0,5,5,1,6/5/2024,11,5/6/2024
16.8,289.66,58,Quận 10,2,14,0,4.2,6,1,13/12/2024,15,12/13/2024
8.99,74.92,120,Quận 12,Hiệp Thành,2,1,4,1,0,12/10/2024,2,10/12/2024
11.8,64.84,182,Quận 2,Thủ Thiêm,3,0,4.5,2,1,23/06/2024,2,6/23/2024
5.8,90.62,64,Bình Tân,An Lạc,4,1,6,2.5,0,25/10/2024,4,10/25/2024
30,167.6,179,Quận 10,2,5,0,6.7,5,1,10/12/2024,5,12/10/2024
1.45,45.31,32,Quận 8,4,2,0,3,2,1,1/9/2024,2,9/1/2024
5.35,214,25,Bình Thạnh,6,3,0,3.5,4.5,1,5/7/2024,3,7/5/2024
5.9,109.26,54,Gò Vấp,8,4,0,5,3,1,8/2/2024,3,2/8/2024
5.8,111.54,52,Quận 2,Thạnh Mỹ Lợi,3,0,4,3.5,1,26/07/2024,4,7/26/2024
8.7,114.47,76,Quận 6,10,4,1,1,3.5,0,24/06/2024,5,6/24/2024
4.1,41,100,Quận 12,Tân Chánh Hiệp,1,0,5,1,1,11/6/2024,1,6/11/2024
9.3,116.25,80,Tân Phú,Tân Sơn Nhì,3,0,4,4,1,7/6/2024,3,6/7/2024
7.5,108.7,69,Thủ Đức,Trường Thọ,3,0,5.3,4,1,3/4/2024,4,4/3/2024
2.3,88.46,26,Tân Bình,10,1,0,3.3,1.5,1,1/4/2024,1,4/1/2024
60,750,80,Quận 5,5,7,1,4,6.5,0,5/11/2024,9,11/5/2024
5.2,136.84,38,Quận 10,2,4,0,5.6,2,1,17/10/2024,4,10/17/2024
33,120,275,Quận 12,Thới An,8,1,11,4,0,23/05/2024,8,5/23/2024
6.3,123.53,51,Quận 10,2,3,1,3.4,2,0,29/01/2024,2,1/29/2024
21,259.26,81,Quận 4,18,3,1,4.1,3,0,25/06/2024,3,6/25/2024
22.5,208.33,108,Tân Bình,4,4,1,6,3.5,0,29/08/2024,4,8/29/2024
2.1,131.25,16,Bình Thạnh,26,2,0,3.8,2,1,4/7/2024,2,7/4/2024
6.3,123.53,51,Quận 10,2,3,1,3.4,2,0,27/06/2024,2,6/27/2024
15.5,87.57,177,Quận 12,Trung Mỹ Tây,4,1,6.3,1,0,23/01/2024,3,1/23/2024
21,5,4200,Củ Chi,Tân Thạnh Tây,2,1,31,1,0,31/08/2024,2,8/31/2024
8,100,80,Nhà Bè,Nhà Bè,4,0,4,3.5,1,18/09/2024,5,9/18/2024
4.47,85.96,52,Quận 12,Đông Hưng Thuận,2,1,4,2,0,10/8/2024,2,8/10/2024
6.9,202.94,34,Quận 10,2,3,0,3.6,2.5,1,29/03/2024,2,3/29/2024
6.9,202.94,34,Quận 10,2,3,0,3.6,2.5,1,2/5/2024,2,5/2/2024
3.84,56.47,68,Quận 12,Tân Thới Nhất,2,0,4.6,2,1,20/07/2024,1,7/20/2024
18.3,217.86,84,Quận 4,3,6,1,4,4,0,4/11/2024,4,11/4/2024
4.3,122.86,35,Quận 4,9,2,0,6,3.5,1,25/12/2024,3,12/25/2024
3,100,30,Quận 10,2,3,0,8,4,1,12/3/2024,2,3/12/2024
15,75,200,Quận 12,Tân Thới Nhất,7,1,10,5,0,6/9/2024,7,9/6/2024
5.3,48.62,109,Quận 12,Tân Thới Hiệp,1,0,5.2,1,1,10/12/2024,1,12/10/2024
7,97.22,72,Quận 12,Tân Hưng Thuận,5,1,4,3.5,0,14/11/2024,5,11/14/2024
19.5,121.88,160,Quận 6,8,4,1,4.1,3,0,15/06/2024,4,6/15/2024
8.75,125,70,Bình Thạnh,17,3,1,3.9,3.5,0,28/04/2024,3,4/28/2024
7.2,72,100,Quận 12,Hiệp Thành,5,0,5,3.5,1,20/11/2024,5,11/20/2024
19.5,50.91,383,Quận 12,Thạnh Xuân,2,1,8,1,0,25/05/2024,1,5/25/2024
4.4,122.22,36,Quận 10,2,4,0,3.83,2,1,2/12/2024,2,12/2/2024
5.34,79.7,67,Quận 12,Đông Hưng Thuận,1,1,3.8,1,0,8/4/2024,1,4/8/2024
13.9,66.83,208,Hóc Môn,Trung Chánh,2,1,8,1,0,9/4/2024,2,4/9/2024
6.5,76.47,85,Bình Tân,Bình Trị Đông,3,1,7,1,0,18/02/2024,2,2/18/2024
11.4,114,100,Tân Phú,Tân Sơn Nhì,3,1,4,3,0,5/2/2024,3,2/5/2024
3.4,79.07,43,Gò Vấp,3,2,0,4,2,1,14/06/2024,2,6/14/2024
5.55,79.29,70,Tân Phú,Tân Quý,2,0,3.5,2,1,14/07/2024,3,7/14/2024
5.9,74.68,79,Bình Thạnh,17,3,0,5,3,1,8/9/2024,3,9/8/2024
5.24,84.52,62,Tân Phú,Tây Thạnh,4,0,3.8,2,1,6/7/2024,2,7/6/2024
29.9,207.64,144,Phú Nhuận,9,4,1,30,6,0,11/8/2024,4,8/11/2024
6.5,82.28,79,Quận 7,Phú Thuận,3,0,3.6,1,1,13/10/2024,1,10/13/2024
26.3,375.71,70,Quận 10,2,13,0,2,6,1,18/07/2024,13,7/18/2024
3.2,27.83,115,Củ Chi,Tân Thông Hội,1,1,6,1,0,16/09/2024,1,9/16/2024
3.3,103.12,32,Tân Phú,Tây Thạnh,2,0,3.5,2,1,6/9/2024,2,9/6/2024
15.4,100.65,153,Tân Phú,Sơn Kỳ,6,0,8.5,3.5,1,2/6/2024,3,6/2/2024
70,526.32,133,Quận 1,Tân Định,42,1,8.1,7,0,18/11/2024,46,11/18/2024
54,388.49,139,Quận 1,Tân Định,5,1,9.5,2,0,30/09/2024,5,9/30/2024
5,185.19,27,Quận 10,2,4,0,2.9,3.5,1,30/08/2024,3,8/30/2024
5,96.15,52,Bình Tân,Bình Trị Đông,2,0,5,2,1,16/11/2024,2,11/16/2024
2.8,45.16,62,Quận 12,Đông Hưng Thuận,4,0,3.6,2,1,11/4/2024,2,4/11/2024
5,178.57,28,Quận 10,2,4,0,2.9,3.5,1,25/02/2024,3,2/25/2024
5.1,100,51,Quận 9,Hiệp Phú,3,0,4.2,2,1,20/05/2024,2,5/20/2024
10.5,175,60,Bình Thạnh,25,4,0,4,3,1,16/12/2024,4,12/16/2024
12.5,102.46,122,Quận 3,10,10,0,3,2,1,19/03/2024,6,3/19/2024
8.1,202.5,40,Quận 1,Tân Định,3,0,5,3,1,26/08/2024,3,8/26/2024
6.35,122.12,52,Gò Vấp,5,3,0,3.2,2,1,16/02/2024,2,2/16/2024
4.6,164.29,28,Quận 10,2,2,0,2.6,2,1,26/12/2024,2,12/26/2024
4.6,164.29,28,Quận 10,2,2,0,2.6,2,1,21/02/2024,2,2/21/2024
22.5,401.79,56,Quận 3,6,4,1,4,4,0,19/05/2024,4,5/19/2024
3.45,95.83,36,Gò Vấp,11,2,1,4,2,0,25/06/2024,2,6/25/2024
14.3,145.92,98,Quận 7,Phú Mỹ,5,0,4,5,1,23/03/2024,6,3/23/2024
13.5,180,75,Quận 10,2,5,0,5,3,1,6/9/2024,3,9/6/2024
6.35,158.75,40,Bình Thạnh,5,3,0,5.5,3.5,1,5/11/2024,3,11/5/2024
6,74.07,81,Quận 7,Phú Mỹ,3,1,3,1,0,26/08/2024,3,8/26/2024
2.85,37.5,76,Quận 4,9,2,0,2.6,3.5,1,24/06/2024,2,6/24/2024
2.44,38.12,64,Quận 9,Long Bình,2,0,8.5,2,1,13/02/2024,1,2/13/2024
7.2,120,60,Tân Bình,5,4,0,4,3,1,3/8/2024,3,8/3/2024
4.95,206.25,24,Gò Vấp,8,3,0,10,5,1,4/1/2024,4,1/4/2024
3.68,216.47,17,Quận 10,2,3,0,2.7,3,1,21/11/2024,3,11/21/2024
3.8,126.67,30,Quận 10,2,4,0,4.2,4,1,17/09/2024,4,9/17/2024
4.7,204.35,23,Quận 10,2,2,0,3.6,2,1,9/5/2024,2,5/9/2024
4,129.03,31,Quận 10,2,2,0,3.3,3.5,1,1/9/2024,3,9/1/2024
4.85,167.24,29,Quận 4,9,2,1,3.6,3,0,7/8/2024,3,8/7/2024
3.83,95.75,40,Quận 4,9,3,0,3.1,2.5,1,3/10/2024,2,10/3/2024
11.8,98.33,120,Quận 2,Thủ Thiêm,4,1,4,3.5,0,27/07/2024,5,7/27/2024
5.4,168.75,32,Quận 10,2,4,0,3,3,1,2/3/2024,3,3/2/2024
6.9,86.25,80,Bình Thạnh,11,3,0,4.2,2,1,7/4/2024,2,4/7/2024
5.4,168.75,32,Quận 10,2,4,0,3,3,1,2/8/2024,3,8/2/2024
6.4,98.46,65,Quận 2,Bình Trưng Tây,4,0,4.2,3.5,1,26/06/2024,5,6/26/2024
5.6,63.64,88,Bình Thạnh,24,3,0,4.1,2,1,25/07/2024,2,7/25/2024
6.5,100,65,Bình Thạnh,5,3,0,4.2,2,1,16/04/2024,2,4/16/2024
24.9,93.96,265,Quận 12,Tân Thới Nhất,3,1,6.5,1,0,17/08/2024,3,8/17/2024
23.5,188,125,Phú Nhuận,11,7,0,4,5,1,21/12/2024,8,12/21/2024
6.8,183.78,37,Quận 3,5,3,1,4.5,3,0,20/05/2024,2,5/20/2024
2.89,35.24,82,Quận 4,1,3,0,6,3.5,1,7/2/2024,3,2/7/2024
3.18,109.66,29,Gò Vấp,9,2,1,3,2,0,22/07/2024,2,7/22/2024
10.5,159.09,66,Quận 7,Tân Kiểng,4,1,4,3.5,0,8/11/2024,6,11/8/2024
30.5,381.25,80,Quận 3,6,4,1,5,4,0,10/3/2024,4,3/10/2024
39,325,120,Quận 5,12,5,1,6,4,0,29/03/2024,5,3/29/2024
10.5,218.75,48,Quận 7,Phú Mỹ,3,1,4,2,0,9/8/2024,1,8/9/2024
19.5,72.22,270,Quận 12,Trung Mỹ Tây,1,1,9,1,0,18/02/2024,1,2/18/2024
3.8,86.36,44,Quận 12,Đông Hưng Thuận,2,0,4,2,1,17/04/2024,1,4/17/2024
4.63,159.66,29,Quận 4,9,2,0,3.5,3.5,1,20/03/2024,2,3/20/2024
5.34,55.62,96,Quận 12,Đông Hưng Thuận,2,0,6.6,1,1,27/11/2024,1,11/27/2024
22.4,111.44,201,Tân Phú,Tây Thạnh,3,0,8,1,1,21/10/2024,1,10/21/2024
2.15,63.24,34,Gò Vấp,1,2,0,3.54,2,1,19/02/2024,2,2/19/2024
2.1,70,30,Quận 12,Đông Hưng Thuận,2,0,2,2,1,27/11/2024,2,11/27/2024
3.38,120.71,28,Gò Vấp,11,2,1,3,3,0,5/8/2024,2,8/5/2024
5.5,78.57,70,Bình Tân,An Lạc,3,0,5,3.5,1,7/6/2024,3,6/7/2024
4.76,63.47,75,Quận 12,Tân Hưng Thuận,2,0,5,2,1,10/12/2024,1,12/10/2024
7.2,72,100,Quận 12,Hiệp Thành,4,0,5,3.5,1,17/02/2024,4,2/17/2024
14.8,264.29,56,Quận 10,2,5,1,7,4,0,3/11/2024,4,11/3/2024
23,128.49,179,Quận 10,2,4,1,3.55,4.5,0,10/1/2024,4,1/10/2024
15.6,354.55,44,Quận 10,2,5,1,4,4,0,15/03/2024,4,3/15/2024
19.5,152.34,128,Tân Bình,13,26,0,4,5,1,10/1/2024,4,1/10/2024
30.5,381.25,80,Quận 3,6,4,1,5,4,0,18/05/2024,4,5/18/2024
22.5,401.79,56,Quận 3,6,4,1,4,4,0,23/08/2024,4,8/23/2024
5.28,176,30,Quận 10,2,3,0,5,2.5,1,20/02/2024,3,2/20/2024
4.7,69.12,68,Tân Bình,15,4,0,4,2,1,9/7/2024,4,7/9/2024
5.73,57.88,99,Quận 12,Đông Hưng Thuận,3,0,6.6,2,1,6/2/2024,1,2/6/2024
31,137.78,225,Bình Thạnh,25,45,0,10,6,1,7/7/2024,45,7/7/2024
16.5,48.1,343,Quận 12,Hiệp Thành,6,1,30,5,0,4/3/2024,5,3/4/2024
15.5,113.97,136,Quận 12,Hiệp Thành,1,1,6,1,0,30/05/2024,1,5/30/2024
62,340.66,182,Bình Thạnh,6,4,1,22,9,0,9/5/2024,4,5/9/2024
17.5,87.5,200,Quận 12,Trung Mỹ Tây,1,1,8,1,0,20/09/2024,1,9/20/2024
6.5,224.14,29,Quận 10,2,4,1,6,3,0,4/9/2024,4,9/4/2024
6.15,102.5,60,Quận 9,Tăng Nhơn Phú B,3,0,5,3,1,13/12/2024,2,12/13/2024
7.4,112.12,66,Tân Phú,Tây Thạnh,2,0,6,2,1,18/06/2024,2,6/18/2024
4.08,75.56,54,Quận 12,Đông Hưng Thuận,2,0,4,2,1,22/12/2024,3,12/22/2024
10,277.78,36,Phú Nhuận,5,3,0,4,4,1,20/07/2024,4,7/20/2024
9.2,131.43,70,Tân Phú,Tân Quý,3,0,5,3.5,1,2/5/2024,3,5/2/2024
3.6,90,40,Gò Vấp,1,4,0,4.5,2,1,22/07/2024,3,7/22/2024
66,25.75,2563,Quận 12,Đông Hưng Thuận,1,1,35,1,0,2/10/2024,1,10/2/2024
3,46.88,64,Quận 12,Đông Hưng Thuận,2,0,3.2,1,1,5/11/2024,3,11/5/2024
3.8,126.67,30,Quận 10,2,4,0,4.2,4,1,12/5/2024,4,5/12/2024
6.9,138,50,Phú Nhuận,15,2,0,3,2,1,6/8/2024,2,8/6/2024
7.1,142,50,Quận 8,1,3,0,4.7,3,1,30/01/2024,4,1/30/2024
3.4,79.07,43,Gò Vấp,16,4,0,3,3,1,20/01/2024,3,1/20/2024
5.5,122.22,45,Quận 1,Nguyễn Cư Trinh,3,0,3,2,1,14/11/2024,2,11/14/2024
3.2,61.54,52,Thủ Đức,Linh Xuân,2,0,4,1.5,1,29/01/2024,1,1/29/2024
7.5,84.27,89,Quận 9,Tăng Nhơn Phú B,2,0,4.5,2,1,15/09/2024,3,9/15/2024
9,91.84,98,Tân Phú,Phú Thạnh,2,1,4,1,0,14/07/2024,2,7/14/2024
27,360,75,Quận 10,2,6,1,4.3,6,0,1/11/2024,6,11/1/2024
9.9,180,55,Quận 10,2,3,0,2,3.5,1,5/2/2024,4,2/5/2024
9.9,180,55,Quận 10,2,3,0,6.5,2.5,1,29/09/2024,4,9/29/2024
5.5,53.4,103,Quận 12,Đông Hưng Thuận,4,0,4.1,2,1,11/12/2024,4,12/11/2024
5.15,171.67,30,Quận 10,2,3,0,3,4.5,1,19/05/2024,4,5/19/2024
5.82,40.14,145,Quận 12,Đông Hưng Thuận,2,1,4,2,0,10/9/2024,1,9/10/2024
30.5,381.25,80,Quận 3,6,4,1,5,4,0,4/7/2024,4,7/4/2024
6.5,135.42,48,Quận 8,2,4,0,5.2,2,1,18/10/2024,3,10/18/2024
5.3,117.78,45,Quận 6,12,5,0,5,3,1,11/5/2024,3,5/11/2024
5.8,187.1,31,Quận 10,2,3,0,3.1,4,1,5/1/2024,3,1/5/2024
66,407.41,162,Quận 1,Bến Thành,4,1,9,7,0,12/6/2024,4,6/12/2024
33,203.7,162,Quận 2,Bình An,1,1,12,4,0,18/08/2024,1,8/18/2024
6.15,120.59,51,Thủ Đức,Linh Đông,3,0,4.3,4.5,1,20/08/2024,4,8/20/2024
132,660,200,Quận 1,Bến Thành,10,1,12,5,0,16/07/2024,10,7/16/2024
115,676.47,170,Quận 1,Bến Thành,15,1,8.5,4,0,19/10/2024,15,10/19/2024
7.2,189.47,38,Quận 10,2,2,0,3.4,2,1,27/07/2024,2,7/27/2024
4.65,42.27,110,Quận 12,Tân Chánh Hiệp,3,0,6,1,1,4/10/2024,2,10/4/2024
95,593.75,160,Quận 5,12,8,1,8,9,0,25/04/2024,8,4/25/2024
5.1,96.23,53,Quận 9,Phú Hữu,3,0,4.5,3.5,1,19/07/2024,3,7/19/2024
5.2,113.04,46,Bình Thạnh,24,2,0,2,2,1,4/12/2024,2,12/4/2024
38,292.31,130,Tân Bình,2,20,1,4.5,11,0,22/06/2024,4,6/22/2024
7.3,202.78,36,Bình Thạnh,21,3,0,4,4,1,16/11/2024,4,11/16/2024
27,67.5,400,Hóc Môn,Tân Xuân,2,1,10,1,0,21/01/2024,2,1/21/2024
5.5,68.75,80,Bình Tân,Bình Trị Đông,2,0,4,1,1,12/5/2024,2,5/12/2024
20.5,106.77,192,Bình Thạnh,12,4,1,12,5,0,1/7/2024,4,7/1/2024
30.5,381.25,80,Quận 3,6,4,1,5,4,0,26/04/2024,4,4/26/2024
3.7,97.37,38,Quận 12,Đông Hưng Thuận,2,1,3.43,2.5,0,22/11/2024,2,11/22/2024
5.2,167.74,31,Gò Vấp,9,3,0,5,3,1,25/12/2024,3,12/25/2024
5.7,66.28,86,Quận 8,7,1,0,6.23,1,1,19/02/2024,1,2/19/2024
1.9,59.38,32,Quận 12,Đông Hưng Thuận,3,0,4,3,1,28/11/2024,2,11/28/2024
4.3,78.18,55,Bình Tân,Bình Trị Đông,3,0,4.1,2,1,16/01/2024,3,1/16/2024
2.9,96.67,30,Quận 12,Đông Hưng Thuận,3,1,3,3,0,7/7/2024,3,7/7/2024
3.75,144.23,26,Bình Thạnh,12,3,1,4,3,0,28/03/2024,2,3/28/2024
20.5,106.77,192,Bình Thạnh,12,4,1,12,5,0,25/07/2024,4,7/25/2024
15,172.41,87,Quận 10,2,3,0,5,1,1,4/5/2024,2,5/4/2024
4.18,73.33,57,Quận 12,Đông Hưng Thuận,2,1,4,2,0,28/11/2024,3,11/28/2024
2.9,70.73,41,Quận 12,Đông Hưng Thuận,2,0,5,1,1,9/7/2024,2,7/9/2024
9.1,113.75,80,Tân Phú,Tân Sơn Nhì,3,0,10,2,1,9/11/2024,3,11/9/2024
6.55,71.2,92,Gò Vấp,14,4,0,4,5,1,23/09/2024,4,9/23/2024
1.5,15,100,Bình Chánh,Bình Chánh,2,1,6,2,0,1/10/2024,2,10/1/2024
68,39.81,1708,Quận 12,An Phú Đông,3,0,21.2,1,1,5/5/2024,2,5/5/2024
5.7,78.08,73,Tân Phú,Hiệp Tân,3,0,4,1,1,7/5/2024,2,5/7/2024
3.1,155,20,Quận 4,9,2,0,3.7,3.5,1,2/4/2024,3,4/2/2024
7.9,38.73,204,Quận 4,9,4,0,7.5,3,1,16/08/2024,3,8/16/2024
3.1,34.44,90,Quận 12,Đông Hưng Thuận,3,1,4.5,2,0,8/6/2024,2,6/8/2024
4.074,47.37,86,Quận 12,Đông Hưng Thuận,7,0,5,2,1,6/2/2024,5,2/6/2024
3.1,86.11,36,Quận 12,Đông Hưng Thuận,2,0,4,2,1,8/2/2024,2,2/8/2024
4.074,59.91,68,Quận 12,Đông Hưng Thuận,2,0,4,2,1,28/07/2024,2,7/28/2024
5.63,38.04,148,Quận 12,Đông Hưng Thuận,2,0,3,1,1,29/03/2024,1,3/29/2024
3.98,56.06,71,Quận 12,Đông Hưng Thuận,4,0,4.5,3.5,1,27/01/2024,4,1/27/2024
5.53,70.9,78,Quận 12,Đông Hưng Thuận,2,0,5,2,1,19/11/2024,2,11/19/2024
3.49,53.69,65,Quận 12,Đông Hưng Thuận,3,0,4.5,2,1,24/02/2024,2,2/24/2024
5.44,46.1,118,Quận 12,Đông Hưng Thuận,4,0,5.4,2,1,8/11/2024,3,11/8/2024
5.58,78.59,71,Quận 12,Đông Hưng Thuận,4,0,1,3,1,14/06/2024,3,6/14/2024
4.51,125.28,36,Quận 12,Đông Hưng Thuận,1,1,3.5,2,0,21/02/2024,1,2/21/2024
5.63,70.38,80,Quận 12,Đông Hưng Thuận,1,1,4,3.5,0,29/03/2024,1,3/29/2024
2.2,95.65,23,Quận 12,Đông Hưng Thuận,3,1,2.91,3,0,15/06/2024,3,6/15/2024
4.18,67.42,62,Quận 12,Đông Hưng Thuận,1,0,5,1,1,4/10/2024,1,10/4/2024
3.54,63.21,56,Quận 12,Đông Hưng Thuận,2,0,4.3,2,1,24/09/2024,1,9/24/2024
1.65,78.57,21,Quận 12,Hiệp Thành,2,0,3.5,2,1,13/10/2024,1,10/13/2024
1.05,80.77,13,Quận 12,Hiệp Thành,1,0,3.1,2,1,25/08/2024,1,8/25/2024
6,43.8,137,Quận 12,Đông Hưng Thuận,1,0,5.4,1,1,19/10/2024,1,10/19/2024
7.18,128.21,56,Gò Vấp,12,4,0,4,4,1,25/11/2024,5,11/25/2024
17,217.95,78,Quận 8,5,3,1,4,3.5,0,18/04/2024,2,4/18/2024
2.6,56.52,46,Quận 12,Tân Thới Nhất,3,0,3.5,2,1,14/03/2024,2,3/14/2024
5.8,96.67,60,Gò Vấp,4,2,0,4.3,2,1,20/02/2024,2,2/20/2024
11.6,200,58,Quận 7,Tân Kiểng,2,1,4,1,0,10/5/2024,2,5/10/2024
11.5,121.05,95,Bình Thạnh,2,3,0,4,1,1,19/03/2024,3,3/19/2024
4.86,72.54,67,Quận 12,Đông Hưng Thuận,1,0,4.3,1,1,2/8/2024,1,8/2/2024
1.1,11,100,Bình Chánh,Bình Chánh,3,0,5,2,1,23/11/2024,2,11/23/2024
8,133.33,60,Quận 9,Phước Bình,4,1,12,5.5,0,1/11/2024,4,11/1/2024
5.8,120.83,48,Quận 11,5,2,0,4,2.5,1,24/04/2024,1,4/24/2024
2.6,236.36,11,Quận 10,2,2,0,10,3.5,1,4/7/2024,2,7/4/2024
4.37,208.1,21,Quận 12,Đông Hưng Thuận,2,0,5,2.5,1,7/7/2024,3,7/7/2024
5.18,67.27,77,Quận 12,Tân Thới Nhất,2,1,7.5,2,0,16/05/2024,1,5/16/2024
3,49.18,61,Quận 12,Tân Thới Nhất,1,0,5.1,1,1,11/7/2024,1,7/11/2024
3.25,72.22,45,Quận 12,Đông Hưng Thuận,2,0,16,1,1,14/02/2024,2,2/14/2024
4.76,125.26,38,Quận 12,Đông Hưng Thuận,2,0,4,2,1,11/5/2024,1,5/11/2024
3.3,45.21,73,Quận 12,Tân Thới Nhất,2,0,5.4,2,1,12/7/2024,1,7/12/2024
4.94,61.75,80,Quận 12,Tân Thới Nhất,2,0,4,2,1,16/12/2024,2,12/16/2024
3.35,83.75,40,Quận 12,Tân Thới Nhất,2,0,4,2,1,17/03/2024,1,3/17/2024
5.1,63.75,80,Quận 12,Tân Thới Nhất,4,0,4.3,2,1,13/03/2024,2,3/13/2024
3.5,62.5,56,Quận 12,Đông Hưng Thuận,2,0,4.3,2,1,27/02/2024,2,2/27/2024
3,66.67,45,Quận 12,Tân Thới Nhất,1,0,4.09,2,1,6/7/2024,1,7/6/2024
3,66.67,45,Quận 12,Tân Thới Nhất,1,0,4.09,2,1,11/8/2024,1,8/11/2024
3.4,82.93,41,Quận 12,Tân Thới Nhất,2,0,3.6,2,1,22/07/2024,2,7/22/2024
3.056,38.68,79,Quận 12,Tân Thới Nhất,5,0,5,1,1,24/01/2024,5,1/24/2024
4.7,58.75,80,Quận 12,Tân Thới Nhất,1,0,4,1,1,7/2/2024,1,2/7/2024
5.63,78.19,72,Quận 12,Tân Thới Nhất,3,0,4,2,1,1/6/2024,2,6/1/2024
3.89,41.83,93,Quận 12,Tân Thới Nhất,10,0,4.4,2,1,24/03/2024,10,3/24/2024
4.4,133.33,33,Quận 12,Tân Thới Nhất,1,1,2.98,2,0,27/09/2024,1,9/27/2024
5.82,68.47,85,Quận 12,Tân Thới Nhất,4,1,4.5,2,0,24/10/2024,2,10/24/2024
5.073,50.73,100,Quận 12,Tân Thới Nhất,7,1,8,2.5,0,20/01/2024,4,1/20/2024
5.73,73.46,78,Quận 12,Tân Thới Nhất,3,0,10,2,1,9/11/2024,2,11/9/2024
2.6,86.67,30,Quận 12,Tân Thới Nhất,2,0,3.2,2,1,9/3/2024,2,3/9/2024
3.83,76.6,50,Quận 12,Tân Thới Nhất,2,0,4,2,1,20/09/2024,2,9/20/2024
5.05,55.49,91,Quận 12,Đông Hưng Thuận,2,0,3.7,2,1,24/04/2024,1,4/24/2024
4.074,43.81,93,Quận 12,Đông Hưng Thuận,3,0,3,2,1,13/01/2024,3,1/13/2024
3.78,63,60,Quận 12,Đông Hưng Thuận,3,0,4,2,1,29/01/2024,2,1/29/2024
3.35,65.69,51,Quận 12,Đông Hưng Thuận,3,1,4.2,3,0,23/07/2024,2,7/23/2024
