Price_Billion,Price_Per_m2,Area_m2,District,Ward,Bedrooms,Is_MatTien,Width_m,Floors,Is Hem,Post Time,Toilets,Post_Time
6.6,97.06,68,Bình Tân,Bình Hưng Hòa,4,0,4,3,1,27/12/2025,3,12/27/2025
15.7,75.48,208,Hóc Môn,Trung Chánh,1,1,8,1,0,27/12/2025,1,12/27/2025
4.2,131.25,32,Tân Phú,Tân Sơn Nhì,2,0,4,2,1,27/12/2025,2,12/27/2025
6.8,68,100,Thủ Đức,Linh Xuân,3,0,4,2,1,27/12/2025,4,12/27/2025
6.85,99.28,69,Tân Bình,1,1,0,3,2,1,27/12/2025,2,12/27/2025
8.5,283.33,30,Quận 3,5,5,0,3,6.5,1,27/12/2025,4,12/27/2025
15.5,164.89,94,Gò Vấp,1,12,1,4,6,0,27/12/2025,12,12/27/2025
10.9,153.52,71,Bình Tân,Bình Hưng Hòa A,6,1,3.8,5,0,27/12/2025,7,12/27/2025
5.6,50.91,110,Nhà Bè,Nhà Bè,4,0,4,2,1,27/12/2025,2,12/27/2025
15.5,151.96,102,Thủ Đức,Linh Chiểu,3,1,6,2,0,27/12/2025,3,12/27/2025
11.4,154.05,74,Quận 1,Bến Thành,5,1,7,4,0,31/12/2025,5,12/31/2025
12.3,136.67,90,Quận 9,Phước Long B,5,0,3,4,1,31/12/2025,3,12/31/2025
5.6,100,56,Tân Phú,Tân Sơn Nhì,3,0,4.2,2,1,31/12/2025,2,12/31/2025
10.2,94.44,108,Gò Vấp,8,7,0,6,4,1,31/12/2025,7,12/31/2025
10.8,87.8,123,Quận 8,7,3,1,3,3,0,31/12/2025,3,12/31/2025
92,118.25,778,Bình Tân,Bình Trị Đông,3,1,14,2,0,31/12/2025,3,12/31/2025
11.7,177.27,66,Tân Bình,2,7,0,6,6,1,31/12/2025,7,12/31/2025
7.88,143.27,55,Quận 8,5,3,0,3.8,4,1,31/12/2025,3,12/31/2025
23.9,183.85,130,Thủ Đức,Bình Thọ,5,1,6.7,3,0,31/12/2025,4,12/31/2025
1.849,36.98,50,Nhà Bè,Thị trấn Nhà Bè,2,0,3.5,2,1,27/12/2025,2,12/27/2025
5.8,111.54,52,Quận 7,Bình Thuận,2,0,4,2,1,27/12/2025,3,12/27/2025
3.99,51.15,78,Nhà Bè,Nhà Bè,3,0,6.35,2,1,27/12/2025,2,12/27/2025
3.99,51.15,78,Nhà Bè,Nhà Bè,3,0,4,1,1,27/12/2025,2,12/27/2025
59.8,398.67,150,Tân Bình,2,6,0,7.5,5,1,27/12/2025,8,12/27/2025
11.25,125,90,Bình Tân,An Lạc,4,1,4.5,4,0,26/12/2025,5,12/26/2025
6.95,77.22,90,Quận 8,4,2,0,5,3,1,26/12/2025,2,12/26/2025
4.9,81.67,60,Nhà Bè,Nhà Bè,4,0,4.56,4,1,26/12/2025,3,12/26/2025
7.2,144,50,Nhà Bè,Phú Xuân,4,1,4,3.5,0,26/12/2025,4,12/26/2025
7.5,42.86,175,Quận 12,Thạnh Xuân,1,1,7,1,0,26/12/2025,2,12/26/2025
6.7,98.53,68,Bình Tân,Bình Hưng Hòa B,4,0,6,3,1,26/12/2025,4,12/26/2025
8.7,145,60,Tân Bình,1,3,1,4,2,0,26/12/2025,4,12/26/2025
20.5,102.5,200,Thủ Đức,Bình Thọ,4,0,8,2,1,26/12/2025,4,12/26/2025
10.35,73.93,140,Thủ Đức,Linh Trung,3,0,6.5,1,1,26/12/2025,2,12/26/2025
25,297.62,84,Quận 1,Nguyễn Cư Trinh,5,1,4,2,0,29/12/2025,5,12/29/2025
4.799,114.26,42,Nhà Bè,Nhà Bè,2,0,6,2,1,29/12/2025,2,12/29/2025
10.6,139.47,76,Quận 8,5,3,1,4,2,0,29/12/2025,1,12/29/2025
10.6,139.47,76,Quận 8,5,3,1,4,2,0,29/12/2025,1,12/29/2025
6.5,101.56,64,Gò Vấp,11,4,0,4,3.5,1,29/12/2025,5,12/29/2025
31,206.67,150,Gò Vấp,1,4,1,6,5,0,29/12/2025,8,12/29/2025
9.85,75.77,130,Quận 9,Phước Long A,4,0,2,2,1,29/12/2025,3,12/29/2025
4.8,100,48,Bình Tân,Bình Hưng Hòa,2,0,2,2,1,29/12/2025,2,12/29/2025
7.9,158,50,Gò Vấp,6,4,0,5,4,1,29/12/2025,5,12/29/2025
6.65,96.38,69,Bình Tân,Bình Hưng Hòa,4,0,4,3,1,29/12/2025,3,12/29/2025
23.9,103.02,232,Tân Phú,Phú Thạnh,3,1,10,2,0,29/12/2025,3,12/29/2025
6.65,82.1,81,Quận 12,Thạnh Lộc,4,0,6.6,4,1,29/12/2025,4,12/29/2025
6.1,95.31,64,Bình Tân,Bình Hưng Hòa A,4,0,4,3,1,29/12/2025,3,12/29/2025
15,40.32,372,Hóc Môn,Đông Thạnh,1,1,11.3,1,0,28/12/2025,1,12/28/2025
18.5,119.35,155,Quận 12,Thới An,7,1,4,5,0,28/12/2025,3,12/28/2025
2.199,35.47,62,Nhà Bè,Thị trấn Nhà Bè,1,0,8,1,1,28/12/2025,1,12/28/2025
5.5,79.71,69,Quận 9,Phước Bình,3,0,4,2,1,28/12/2025,3,12/28/2025
5.6,50.91,110,Nhà Bè,Nhà Bè,4,0,2,1,1,28/12/2025,2,12/28/2025
17,57.43,296,Quận 12,Hiệp Thành,1,1,8,6,0,28/12/2025,1,12/28/2025
16.5,113.79,145,Hóc Môn,Tân Hiệp,1,1,10,1,0,28/12/2025,1,12/28/2025
4.98,71.14,70,Quận 12,Thạnh Xuân,3,0,4.5,2,1,28/12/2025,4,12/28/2025
19.99,61.51,325,Quận 12,Hiệp Thành,5,1,6.85,4,0,28/12/2025,5,12/28/2025
14,63.64,220,Hóc Môn,Hóc Môn,1,1,8,1,0,28/12/2025,1,12/28/2025
125,235.85,530,Quận 10,2,12,1,20,1,0,28/12/2025,12,12/28/2025
18.9,78.75,240,Thủ Đức,Hiệp Bình Chánh,4,0,10,3,1,24/12/2025,4,12/24/2025
5.59,101.64,55,Quận 9,Tăng Nhơn Phú B,2,0,5,2,1,24/12/2025,2,12/24/2025
49,194.44,252,Gò Vấp,9,39,0,9,6,1,24/12/2025,40,12/24/2025
6.895,98.5,70,Gò Vấp,1,3,0,4.5,2,1,24/12/2025,2,12/24/2025
30,24.49,1225,Hóc Môn,Bà Điểm,2,1,35,1,0,24/12/2025,2,12/24/2025
