Price_Billion,Price_Per_m2,Area_m2,District,Ward,Bedrooms,Is_MatTien,Width_m,Floors,Is Hem,Post Time,Toilets
128.0,606.64,211.0,quan-5,8,0,1,11.0,1.0,0,28/07/2023,0
24.0,363.64,66.0,quan-3,6,3,0,11.0,1.0,1,05/11/2025,4
79.0,526.67,150.0,quan-4,9,2,0,9.0,1.0,1,12/04/2023,2
37.0,336.36,110.0,quan-5,04,4,1,5.0,1.0,0,14/05/2023,4
22.7,527.91,43.0,quan-5,9,4,0,3.6,6.0,1,27/04/2024,4
31.0,344.44,90.0,quan-5,7,8,0,4.2,5.0,1,14/05/2023,8
63.0,583.33,108.0,quan-3,14,6,0,14.0,7.0,1,05/11/2025,7
21.5,282.89,76.0,quan-5,10,0,1,4.7,5.0,0,28/07/2023,0
7.5,90.36,83.0,quan-8,15,4,1,4.4,4.0,0,27/04/2024,4
3.5,134.62,26.0,quan-4,1,2,0,3.0,1.0,1,10/11/2023,3
20.0,66.01,303.0,quan-8,16,20,1,6.2,1.0,0,26/06/2025,4
0.89,4.84,184.0,quan-8,4,4,1,8.0,1.0,0,26/06/2025,2
20.0,243.9,82.0,quan-4,4,10,1,4.0,5.0,0,10/05/2023,10
60.0,375.0,160.0,quan-5,10,5,1,7.0,1.0,0,03/06/2023,5
15.0,263.16,57.0,quan-4,9,6,0,5.0,5.0,1,13/05/2023,3
17.0,253.73,67.0,quan-5,12,3,1,3.79,1.0,0,14/06/2023,3
1.868,24.91,75.0,quan-4,3,2,0,5.0,1.0,1,31/08/2023,2
1.87,39.79,47.0,quan-4,14,2,0,1.0,1.0,1,01/09/2023,2
8.2,113.89,72.0,quan-5,14,2,1,4.0,1.0,0,31/05/2023,2
12.0,120.0,100.0,quan-4,14,5,1,3.65,1.0,0,03/08/2023,6
35.0,466.67,75.0,quan-4,6,6,1,4.63,5.0,0,01/09/2023,6
41.0,379.63,108.0,quan-4,6,6,1,6.0,1.0,0,01/09/2023,18
40.0,336.13,119.0,quan-5,1,12,1,6.0,6.0,0,07/09/2023,12
2.34,37.74,62.0,quan-4,4,4,0,5.2,1.0,1,07/09/2023,4
1.76,27.94,63.0,quan-4,14,2,0,4.0,1.0,1,04/09/2023,2
18.5,298.39,62.0,quan-5,15,3,0,4.5,3.0,1,19/10/2023,3
31.0,234.85,132.0,quan-5,3,21,0,6.0,1.0,1,24/07/2023,25
40.0,400.0,100.0,quan-5,1,6,0,6.0,6.0,1,19/10/2023,6
11.95,149.38,80.0,quan-6,10,5,1,4.0,1.0,0,26/06/2025,4
11.8,210.71,56.0,quan-3,14,5,0,7.0,1.0,1,05/12/2024,4
62.0,369.05,168.0,quan-5,2,4,0,6.0,2.0,1,28/07/2023,4
22.0,261.9,84.0,quan-5,5,5,1,4.0,5.0,0,01/11/2023,5
38.0,380.0,100.0,quan-5,1,6,0,6.0,7.0,1,16/10/2023,6
11.0,115.79,95.0,quan-4,4,3,0,6.3,1.0,1,28/07/2023,3
42.0,210.0,200.0,quan-5,5,0,0,4.0,1.0,1,18/08/2023,0
350.0,767.54,456.0,quan-4,2,0,0,12.0,1.0,1,01/08/2023,0
140.0,239.73,584.0,quan-5,6,0,0,14.17,1.0,1,08/08/2023,0
43.0,398.15,108.0,quan-4,6,0,0,6.0,7.0,1,18/08/2023,0
33.0,239.13,138.0,quan-5,3,12,0,6.0,6.0,1,09/11/2023,12
9.499,202.11,47.0,quan-5,4,5,0,6.0,1.0,1,03/01/2024,7
21.0,141.89,148.0,quan-8,3,30,1,4.2,4.0,0,21/08/2023,30
148.0,241.04,614.0,quan-8,11,8,0,11.5,1.0,1,11/08/2023,10
45.0,450.0,100.0,quan-5,3,16,1,4.6,8.0,0,08/09/2023,16
20.0,377.36,53.0,quan-5,4,4,1,4.0,3.0,0,07/09/2023,3
9.0,112.5,80.0,quan-8,14,4,1,5.5,1.0,0,07/09/2023,3
16.0,188.24,85.0,quan-8,10,7,1,6.5,1.0,0,07/09/2023,8
45.0,489.13,92.0,quan-5,3,12,1,4.6,5.0,0,08/09/2023,12
45.0,489.13,92.0,quan-5,3,12,1,4.6,5.0,0,08/09/2023,12
12.0,206.9,58.0,quan-5,7,4,0,4.0,3.0,1,07/09/2023,4
45.0,505.62,89.0,quan-5,3,10,1,4.6,1.0,0,07/09/2023,9
50.0,416.67,120.0,quan-5,3,10,1,6.7,5.0,0,16/12/2024,10
56.0,226.72,247.0,quan-10,12,2,1,15.0,1.0,0,16/12/2024,3
25.0,183.82,136.0,quan-5,12,8,1,8.0,5.0,0,16/12/2024,10
16.0,177.78,90.0,quan-8,4,4,1,4.5,4.0,0,07/09/2023,5
38.0,333.33,114.0,quan-3,4,11,0,6.0,7.0,1,Hôm qua,7
43.0,632.35,68.0,quan-1,Cầu Ông Lãnh,12,0,4.0,1.0,1,05/11/2025,13
5.8,82.86,70.0,quan-5,6,4,0,3.8,2.0,1,22/02/2024,2
2.58,161.25,16.0,quan-5,2,2,0,3.2,3.0,1,02/02/2024,2
2.2,129.41,17.0,quan-1,Tân Định,3,0,4.0,1.0,1,30/03/2025,3
29.0,252.17,115.0,quan-1,Tân Định,5,0,6.4,4.0,1,10/01/2024,6
1.3,41.94,31.0,quan-5,2,4,0,3.2,1.0,1,21/10/2023,3
21.0,304.35,69.0,quan-5,9,4,0,5.0,4.0,1,05/01/2024,4
2.145,56.45,38.0,quan-4,14,3,1,3.0,1.0,0,05/11/2023,4
1.845,54.26,34.0,quan-4,14,4,0,3.5,1.0,1,05/11/2023,4
15.7,201.28,78.0,quan-5,2,4,0,5.3,3.0,1,22/02/2024,5
27.0,34.55,781.5200000000041,quan-8,4,4,0,8.0,1.0,1,06/12/2023,4
19.0,220.93,86.0,quan-5,4,6,1,4.0,4.0,0,22/02/2024,6
69.0,784.09,88.0,quan-5,3,6,0,6.7,5.0,1,20/03/2024,6
1.09,47.39,23.0,quan-5,3,2,0,3.0,1.0,1,22/11/2023,2
25.0,294.12,85.0,quan-1,Tân Định,1,0,7.0,1.0,1,05/11/2025,1
3.1,38.75,80.0,quan-3,10,2,0,3.8,1.0,1,05/05/2025,2
3.8,90.48,42.0,quan-8,5,2,1,6.0,2.0,0,16/12/2023,2
30.0,294.12,102.0,quan-5,10,4,1,4.0,1.0,0,23/12/2023,4
23.5,427.27,55.0,quan-5,7,4,1,5.0,3.0,0,23/12/2023,4
16.0,175.82,91.0,quan-5,1,6,1,3.7,4.0,0,27/04/2024,6
20.0,294.12,68.0,quan-1,Bến Thành,10,0,4.0,6.0,1,29/01/2024,10
11.5,221.15,52.0,quan-3,13,6,0,4.2,5.0,1,09/05/2025,7
268.0,446.67,600.0,quan-5,2,7,0,20.0,3.0,1,01/06/2024,7
30.0,428.57,70.0,quan-3,14,6,0,6.0,1.0,1,09/05/2025,5
37.0,370.0,100.0,quan-10,12,20,0,6.0,7.0,1,Hôm qua,21
38.0,147.86,257.0,quan-1,Cầu Kho,0,0,12.0,1.0,1,25/12/2023,0
16.3,139.32,117.0,quan-1,PNL,0,0,7.0,1.0,1,28/12/2023,0
27.0,167.7,161.0,quan-2,Thảo Điền,3,0,7.0,3.0,1,10/01/2024,4
23.0,184.0,125.0,quan-2,Thảo Điền,2,1,5.0,1.0,0,10/01/2024,1
3.6,180.0,20.0,quan-1,TĐ,3,0,4.0,1.0,1,08/04/2025,3
24.0,240.0,100.0,quan-5,14,3,1,5.5,1.0,0,14/04/2024,2
16.5,183.33,90.0,quan-3,14,4,0,5.0,1.0,1,09/05/2025,5
25.0,333.33,75.0,quan-1,Bến Thành,10,0,4.0,1.0,1,29/01/2024,10
42.0,350.0,120.0,quan-5,3,5,0,4.7,5.0,1,01/02/2024,5
10.5,150.0,70.0,quan-5,4,5,0,4.1,4.0,1,22/02/2024,5
7.4,92.5,80.0,quan-7,Tân Quy,3,1,4.0,1.0,0,06/07/2025,2
9.3,93.0,100.0,quan-7,Bình Thuận,3,0,5.0,1.0,1,06/07/2025,3
