Price_Billion,Price_Per_m2,Area_m2,District,Ward,Bedrooms,Is_MatTien,Width_m,Floors,Is Hem,Post Time,Toilets
25,490.2,51,Quận 5,9,6,1,3.7,4,0,11/9/2025,4
79,626.98,126,Quận 3,7,12,1,10,7,0,24/09/2025,7
25,490.2,51,Quận 5,9,6,1,3.7,4,0,11/9/2025,4
14.9,149,100,Quận 2,An Phú,1,1,4,2,0,24/09/2025,2
38,205.41,185,Quận 6,11,10,1,8.4,6,0,24/09/2025,6
21.5,179.17,120,Quận 6,10,4,1,5,4,0,9/9/2025,0
10,133.33,75,Quận 9,Phước Long B,3,1,5,1,0,20/09/2025,4
12.5,39.56,316,Quận 12,Thạnh Xuân,3,1,4.5,2,0,14/09/2025,3
16,141.59,113,Quận 8,10,1,1,5,2,0,24/09/2025,1
4.3,59.72,72,Quận 12,Hiệp Thành,2,1,4,1,0,26/09/2025,0
39,629.03,62,Quận 1,Cầu Ông Lãnh,2,1,5,2,0,18/09/2025,2
17,175.26,97,Quận 2,An Phú,2,1,4,1,0,11/9/2025,1
14.5,181.25,80,Quận 7,Tân Phong,5,1,4,4,0,9/9/2025,4
21,259.26,81,Quận 3,5,15,1,4,5,0,29/09/2025,0
37,637.93,58,Quận 3,4,7,1,4.9,5,0,29/09/2025,0
26.5,456.9,58,Quận 3,2,4,1,4,3,0,11/9/2025,3
1.7,15.45,110,Quận 12,Thạnh Lộc,8,1,5.3,5.5,0,29/09/2025,9
23.2,210.91,110,Quận 1,Bến Nghé,5,1,4.2,1,0,18/09/2025,0
46,605.26,76,Quận 1,Cầu Ông Lãnh,12,1,4,7,0,18/09/2025,7
27,385.71,70,Quận 1,Tân Định,14,1,3.7,8,0,24/09/2025,7
405,451.51,897,Quận 2,Bình An,7,1,20,2,0,9/9/2025,7
12.9,103.2,125,Quận 12,Trung Mỹ Tây,5,1,5.07,4.5,0,10/9/2025,5
48,648.65,74,Quận 1,Phạm Ngũ Lão,10,1,4,6,0,24/09/2025,6
25,173.61,144,Quận 7,Tân Quy,5,1,8,1.5,0,9/9/2025,0
51,155.96,327,Quận 7,Phú Thuận,5,1,8,3,0,29/09/2025,0
13.5,166.67,81,Quận 2,An Phú,2,1,4,1,0,13/09/2025,1
14.5,181.25,80,Quận 7,Tân Phong,5,1,4,4,0,9/9/2025,4
75,652.17,115,Quận 1,Cầu Ông Lãnh,2,1,7.2,2,0,24/09/2025,2
145,659.09,220,Quận 1,Bến Thành,8,1,9,5,0,10/9/2025,8
89,1098.77,81,Quận 1,Phạm Ngũ Lão,12,1,4.1,7,0,24/09/2025,7
64,703.3,91,Quận 1,Nguyễn Thái Bình,6,1,4.76,4,0,10/9/2025,3
65,396.34,164,Quận 2,Thảo Điền,4,1,9,3,0,24/09/2025,3
35,388.89,90,Quận 10,2,4,1,13,3,0,10/9/2025,3
39.9,486.59,82,Quận 1,Nguyễn Thái Bình,9,0,4.2,7,1,12/9/2025,0
12.8,256,50,Quận 7,Tân Phú,2,1,2,1,0,21/09/2025,2
17,425,40,Quận 1,Đa Kao,4,1,4,3,0,10/9/2025,3
27,428.57,63,Quận 3,2,4,1,3.4,4,0,10/9/2025,4
115,489.36,235,Quận 11,15,2,1,11.9,2,0,10/9/2025,2
45,193.13,233,Quận 2,Bình An,4,1,9,2,0,8/9/2025,5
19.2,349.09,55,Quận 1,Tân Định,5,1,4,5,0,23/09/2025,0
25,490.2,51,Quận 5,9,6,1,3.7,4,0,3/9/2025,4
51,155.96,327,Quận 7,Phú Thuận,5,1,8,3,0,2/9/2025,0
24,428.57,56,Quận 5,12,8,1,3.5,5,0,1/9/2025,6
25,490.2,51,Quận 5,9,6,1,3.7,4,0,3/9/2025,4
24,428.57,56,Quận 5,12,8,1,3.5,5,0,1/9/2025,6
25,490.2,51,Quận 5,9,6,1,3.7,4,0,3/9/2025,4
38,535.21,71,Quận 3,4,10,1,5.6,6,0,2/9/2025,5
98.4,600,164,Quận 3,6,1,1,6.4,2,0,25/09/2025,1
25,490.2,51,Quận 5,9,6,1,3.7,4,0,3/9/2025,4
35,673.08,52,Quận 1,Cô Giang,10,1,4.7,6,0,27/08/2025,6
24,428.57,56,Quận 5,12,8,1,3.5,5,0,1/9/2025,6
25,490.2,51,Quận 5,9,6,1,3.7,4,0,3/9/2025,4
24,428.57,56,Quận 5,12,8,1,3.5,5,0,23/08/2025,6
24,428.57,56,Quận 5,12,8,1,3.5,5,0,1/9/2025,6
24,428.57,56,Quận 5,12,8,1,3.5,5,0,2/9/2025,6
25,490.2,51,Quận 5,9,6,1,3.7,4,0,3/9/2025,4
25,490.2,51,Quận 5,9,6,1,3.7,4,0,23/08/2025,4
25,490.2,51,Quận 5,9,6,1,3.7,4,0,25/08/2025,4
24,428.57,56,Quận 5,12,8,1,3.5,5,0,1/9/2025,6
25,490.2,51,Quận 5,9,6,1,3.7,4,0,3/9/2025,4
31,418.92,74,Quận 5,10,5,1,6.92,6,0,27/08/2025,5
25,490.2,51,Quận 5,9,6,1,3.7,4,0,23/08/2025,4
25,490.2,51,Quận 5,9,6,1,3.7,4,0,25/08/2025,4
24,428.57,56,Quận 5,12,8,1,3.5,5,0,1/9/2025,6
25.4,461.82,55,Quận 3,5,2,1,4.5,2,0,2/9/2025,1
25.5,145.71,175,Quận 9,Phú Hữu,4,1,10,4,0,25/09/2025,4
24,428.57,56,Quận 5,12,8,1,3.5,5,0,23/08/2025,6
24,428.57,56,Quận 5,12,8,1,3.5,5,0,2/9/2025,6
24,428.57,56,Quận 5,12,8,1,3.5,5,0,1/9/2025,6
25,490.2,51,Quận 5,9,6,1,3.7,4,0,3/9/2025,4
25,490.2,51,Quận 5,9,6,1,3.7,4,0,25/08/2025,4
25,490.2,51,Quận 5,9,6,1,3.7,4,0,23/08/2025,4
24,428.57,56,Quận 5,12,8,1,3.5,5,0,1/9/2025,6
25,490.2,51,Quận 5,9,6,1,3.7,4,0,3/9/2025,4
25,490.2,51,Quận 5,9,6,1,3.7,4,0,25/08/2025,4
25,490.2,51,Quận 5,9,6,1,3.7,4,0,23/08/2025,4
24,428.57,56,Quận 5,12,8,1,3.5,5,0,1/9/2025,6
25.4,461.82,55,Quận 3,5,2,1,4.5,2,0,27/08/2025,1
24,428.57,56,Quận 5,12,8,1,3.5,5,0,2/9/2025,6
24,428.57,56,Quận 5,12,8,1,3.5,5,0,25/08/2025,6
19.5,121.88,160,Quận 9,Phước Long B,6,1,8,4,0,27/08/2025,4
25,490.2,51,Quận 5,9,6,1,3.7,4,0,23/08/2025,4
24,428.57,56,Quận 5,12,8,1,3.5,5,0,1/9/2025,6
24,428.57,56,Quận 5,12,8,1,3.5,5,0,25/08/2025,6
25,490.2,51,Quận 5,9,6,1,3.7,4,0,23/08/2025,4
45,652.17,69,Quận 3,1,10,1,4,6,0,2/9/2025,6
25,490.2,51,Quận 5,9,6,1,3.7,4,0,1/9/2025,4
45,652.17,69,Quận 3,1,10,1,4,6,0,27/08/2025,6
24,428.57,56,Quận 5,12,8,1,3.5,5,0,25/08/2025,6
24,428.57,56,Quận 5,12,8,1,3.5,5,0,2/9/2025,6
25,490.2,51,Quận 5,9,6,1,3.7,4,0,1/9/2025,4
25,490.2,51,Quận 5,9,6,1,3.7,4,0,23/08/2025,4
24,428.57,56,Quận 5,12,8,1,3.5,5,0,25/08/2025,6
15,192.31,78,Quận 7,Tân Kiểng,3,1,4,4,0,4/8/2025,4
25,490.2,51,Quận 5,9,6,1,3.7,4,0,1/9/2025,4
25,490.2,51,Quận 5,9,6,1,3.7,4,0,23/08/2025,4
24,428.57,56,Quận 5,12,8,1,3.5,5,0,25/08/2025,6
48,413.79,116,Quận 3,8,14,1,4.3,8,0,2/9/2025,8
