Price_Billion,Price_Per_m2,Area_m2,District,Ward,Bedrooms,Is_MatTien,Width_m,Floors,Is Hem,Post Time,Toilets
6.8,158.14,43,Quận 4,2,3,0,3.7,2.5,1,01/01/2026,3
6.6,107.32,61.5,Quận 4,3,4,1,3.9,2,0,01/01/2026,4
3.7,154.17,24,Quận 4,2,2,0,3,3,1,01/01/2026,2
4.95,137.5,36,Quận 4,14,3,0,4,1,1,01/01/2026,3
3.4,113.33,30,Quận 4,2,2,0,3,4,1,01/01/2026,2
3.55,47.33,75,Quận 4,14,14,1,5,4,0,01/01/2026,14
7.6,101.33,75,Quận 4,3,8,1,4.3,4,0,01/01/2026,3
3.7,154.17,24,Quận 4,2,2,0,3,3,1,01/01/2026,2
2.15,30.71,70,Quận 4,1,3,1,5,2,0,01/01/2026,3
7.99,153.65,52,Quận 4,3,3,0,3.5,3,1,01/01/2026,3
3.7,154.81,23.9,Quận 4,2,2,0,8,3,1,01/01/2026,2
6.7,87.01,77,Quận 4,4,3,1,4.4,2,0,31/12/2025,3
3.5,145.83,24,Quận 4,2,2,1,3,3,0,31/12/2025,2
3.56,54.77,65,Quận 4,1,5,0,5,4,1,31/12/2025,3
3.45,48.59,71,Quận 4,9,4,0,5,3.5,1,31/12/2025,4
4.5,200.89,22.4,Quận 4,8,2,1,3.2,3,0,31/12/2025,2
1.85,37,50,Quận 4,13,2,1,4,2,0,31/12/2025,2
7.1,253.57,28,Quận 4,4,3,1,4,3,0,31/12/2025,3
7,166.67,42,Quận 4,14,5,0,6,3.5,1,31/12/2025,5
7,165.48,42.3,Quận 4,13,5,1,5.9,1,0,31/12/2025,5
6.34,162.56,39,Quận 4,4,4,0,3.2,4.5,1,31/12/2025,5
3.59,112.19,32,Quận 4,18,3,0,4,1.5,1,31/12/2025,3
4.55,214.62,21.2,Quận 4,13,2,0,3,3,1,31/12/2025,2
3.2,66.67,48,Quận 4,13,3,0,4,3,1,31/12/2025,3
5.35,62.94,85,Quận 4,13,2,1,4.5,3,0,31/12/2025,2
4.5,90,50,Quận 4,13,3,0,5.78,4,1,30/12/2025,3
4.1,65.08,63,Quận 4,4,2,1,3,1,0,30/12/2025,2
8.3,123.15,67.4,Quận 4,13,4,0,6,1,1,30/12/2025,3
12.8,170.67,75,Quận 4,13,5,1,3,4.5,0,30/12/2025,3
30.2,377.5,80,Quận 4,9,4,1,7.2,2,0,30/12/2025,4
4.2,116.67,36,Quận 4,13,4,0,3,3.5,1,30/12/2025,4
5.7,78.3,72.8,Quận 4,13,3,0,6,1,1,30/12/2025,3
4.5,140.62,32,Quận 4,10,2,1,3.2,3.5,0,30/12/2025,2
20,326.26,61.3,Quận 4,3,1,1,5.5,3.5,0,30/12/2025,3
7,162.79,43,Quận 4,13,4,1,10,4,0,30/12/2025,4
5.35,82.31,65,Quận 4,13,2,1,7.7,2,0,30/12/2025,2
120,480,250,Quận 4,13,3,1,12,3,0,30/12/2025,3
4.5,93.75,48,Quận 4,8,3,0,6,5,1,30/12/2025,3
4.7,115.48,40.7,Quận 4,14,5,0,4,2,1,30/12/2025,5
5.7,190,30,Quận 4,8,4,1,3.14,3.5,0,30/12/2025,4
100,462.96,216,Quận 4,13,3,1,12,1,0,30/12/2025,3
27,129.81,208,Quận 4,13,3,0,13,3,1,30/12/2025,3
4.09,51.77,79,Quận 4,13,4,1,4.6,3,0,30/12/2025,4
5,125,40,Quận 4,8,3,0,4,4.5,1,29/12/2025,3
2.1,36.84,57,Quận 4,16,3,0,4,3,1,29/12/2025,3
130,606.06,214.5,Quận 4,13,3,1,8.6,4,0,29/12/2025,3
9.9,159.68,62,Quận 4,4,3,1,4,6.5,0,29/12/2025,3
13.5,321.43,42,Quận 4,9,3,1,25,2.5,0,29/12/2025,3
130,606.06,214.5,Quận 4,13,3,1,8.6,4,0,29/12/2025,3
3.2,168.42,19,Quận 4,13,2,1,3.1,2,0,29/12/2025,2
5.55,61.53,90.2,Quận 4,4,3,0,5,1,1,29/12/2025,3
6.3,70,90,Quận 4,4,3,0,3.9,4,1,29/12/2025,3
5.2,104,50,Quận 4,8,3,0,4.35,4,1,29/12/2025,3
3.5,70,50,Quận 4,18,3,0,5,3,1,29/12/2025,3
4.6,88.46,52,Quận 4,8,3,0,4,1,1,29/12/2025,3
105,486.11,216,Quận 4,13,3,1,12,1,0,29/12/2025,2
6.99,139.8,50,Quận 4,1,3,0,4,1,1,29/12/2025,3
