Price_Billion,Price_Per_m2,Area_m2,District,Ward,Bedrooms,Is_MatTien,Width_m,Floors,Is Hem,Post Time,Toilets,Segment
7.5,110.29,68.0,Quận 4,10,3.0,0,4.3,2.0,1,2/1/2026,4.0,Cao cấp
5.7,73.08,78.0,Quận 4,13,3.0,0,4.0,4.0,1,2/1/2026,3.0,Bình dân
7.0,162.79,43.0,Quận 4,15,5.0,0,6.0,3.5,1,2/1/2026,5.0,Cao cấp
3.6,150.0,24.0,Quận 4,2,2.0,0,3.0,4.0,1,1/1/2026,2.0,Cao cấp
2.89,44.46,65.0,Quận 4,8,4.0,0,4.0,3.0,1,1/1/2026,4.0,Bình dân
3.7,154.17,24.0,Quận 4,2,2.0,0,3.0,4.0,1,1/1/2026,2.0,Cao cấp
3.5,116.67,30.0,Quận 4,2,4.0,0,3.0,3.5,1,1/1/2026,4.0,Cao cấp
4.15,118.57,35.0,Quận 4,14,3.0,1,3.5,3.0,0,1/1/2026,3.0,Bình dân
3.7,154.17,24.0,Quận 4,2,2.0,1,3.0,4.0,0,1/1/2026,2.0,Bình dân
3.3,126.92,26.0,Quận 4,4,2.0,1,5.0,3.0,0,1/1/2026,2.0,Bình dân
5.7,190.0,30.0,Quận 4,8,4.0,1,3.14,3.5,0,1/1/2026,4.0,Bình dân
1.65,165.0,10.0,Quận 4,2,2.0,0,2.2,3.0,1,1/1/2026,2.0,Cao cấp
4.0,190.48,21.0,Quận 4,10,2.0,1,3.0,3.5,0,1/1/2026,2.0,Bình dân
5.6,192.44,29.1,Quận 4,4,5.0,0,3.54,3.5,1,1/1/2026,4.0,VIP
4.5,209.3,21.5,Quận 4,3,1.0,0,3.2,3.0,1,1/1/2026,1.0,VIP
6.8,158.14,43.0,Quận 4,2,3.0,0,3.7,2.5,1,1/1/2026,3.0,Cao cấp
6.6,107.32,61.5,Quận 4,3,4.0,1,3.9,2.0,0,1/1/2026,4.0,Bình dân
3.7,154.17,24.0,Quận 4,2,2.0,0,3.0,3.0,1,1/1/2026,2.0,Cao cấp
4.95,137.5,36.0,Quận 4,14,3.0,0,4.0,1.0,1,1/1/2026,3.0,Cao cấp
3.4,113.33,30.0,Quận 4,2,2.0,0,3.0,4.0,1,1/1/2026,2.0,Cao cấp
3.55,47.33,75.0,Quận 4,14,14.0,1,5.0,4.0,0,1/1/2026,14.0,Bình dân
7.6,101.33,75.0,Quận 4,3,8.0,1,4.3,4.0,0,1/1/2026,3.0,Bình dân
3.7,154.17,24.0,Quận 4,2,2.0,0,3.0,3.0,1,1/1/2026,2.0,Cao cấp
2.15,30.71,70.0,Quận 4,1,3.0,1,5.0,2.0,0,1/1/2026,3.0,Bình dân
7.99,153.65,52.0,Quận 4,3,3.0,0,3.5,3.0,1,1/1/2026,3.0,Cao cấp
3.7,154.81,23.9,Quận 4,2,2.0,0,8.0,3.0,1,1/1/2026,2.0,Cao cấp
6.7,87.01,77.0,Quận 4,4,3.0,1,4.4,2.0,0,31/12/2025,3.0,Bình dân
3.5,145.83,24.0,Quận 4,2,2.0,1,3.0,3.0,0,31/12/2025,2.0,Bình dân
3.56,54.77,65.0,Quận 4,1,5.0,0,5.0,4.0,1,31/12/2025,3.0,Bình dân
3.45,48.59,71.0,Quận 4,9,4.0,0,5.0,3.5,1,31/12/2025,4.0,Bình dân
4.5,200.89,22.4,Quận 4,8,2.0,1,3.2,3.0,0,31/12/2025,2.0,Bình dân
1.85,37.0,50.0,Quận 4,13,2.0,1,4.0,2.0,0,31/12/2025,2.0,Bình dân
7.1,253.57,28.0,Quận 4,4,3.0,1,4.0,3.0,0,31/12/2025,3.0,Cao cấp
7.0,166.67,42.0,Quận 4,14,5.0,0,6.0,3.5,1,31/12/2025,5.0,Cao cấp
7.0,165.48,42.3,Quận 4,13,5.0,1,5.9,1.0,0,31/12/2025,5.0,Bình dân
6.34,162.56,39.0,Quận 4,4,4.0,0,3.2,4.5,1,31/12/2025,5.0,Cao cấp
3.59,112.19,32.0,Quận 4,18,3.0,0,4.0,1.5,1,31/12/2025,3.0,Cao cấp
4.55,214.62,21.2,Quận 4,13,2.0,0,3.0,3.0,1,31/12/2025,2.0,VIP
3.2,66.67,48.0,Quận 4,13,3.0,0,4.0,3.0,1,31/12/2025,3.0,Bình dân
5.35,62.94,85.0,Quận 4,13,2.0,1,4.5,3.0,0,31/12/2025,2.0,Bình dân
4.5,90.0,50.0,Quận 4,13,3.0,0,5.78,4.0,1,30/12/2025,3.0,Bình dân
4.1,65.08,63.0,Quận 4,4,2.0,1,3.0,1.0,0,30/12/2025,2.0,Bình dân
8.3,123.15,67.4,Quận 4,13,4.0,0,6.0,1.0,1,30/12/2025,3.0,Cao cấp
12.8,170.67,75.0,Quận 4,13,5.0,1,3.0,4.5,0,30/12/2025,3.0,Bình dân
4.2,116.67,36.0,Quận 4,13,4.0,0,3.0,3.5,1,30/12/2025,4.0,Cao cấp
5.7,78.3,72.8,Quận 4,13,3.0,0,6.0,1.0,1,30/12/2025,3.0,Bình dân
4.5,140.62,32.0,Quận 4,10,2.0,1,3.2,3.5,0,30/12/2025,2.0,Bình dân
20.0,326.26,61.3,Quận 4,3,1.0,1,5.5,3.5,0,30/12/2025,3.0,Cao cấp
7.0,162.79,43.0,Quận 4,13,4.0,1,10.0,4.0,0,30/12/2025,4.0,Bình dân
5.35,82.31,65.0,Quận 4,13,2.0,1,7.7,2.0,0,30/12/2025,2.0,Bình dân
4.5,93.75,48.0,Quận 4,8,3.0,0,6.0,5.0,1,30/12/2025,3.0,Trung cấp
4.7,115.48,40.7,Quận 4,14,5.0,0,4.0,2.0,1,30/12/2025,5.0,Cao cấp
5.7,190.0,30.0,Quận 4,8,4.0,1,3.14,3.5,0,30/12/2025,4.0,Bình dân
27.0,129.81,208.0,Quận 4,13,3.0,0,13.0,3.0,1,30/12/2025,3.0,Cao cấp
4.09,51.77,79.0,Quận 4,13,4.0,1,4.6,3.0,0,30/12/2025,4.0,Bình dân
5.0,125.0,40.0,Quận 4,8,3.0,0,4.0,4.5,1,29/12/2025,3.0,Cao cấp
2.1,36.84,57.0,Quận 4,16,3.0,0,4.0,3.0,1,29/12/2025,3.0,Bình dân
9.9,159.68,62.0,Quận 4,4,3.0,1,4.0,6.5,0,29/12/2025,3.0,Bình dân
13.5,321.43,42.0,Quận 4,9,3.0,1,25.0,2.5,0,29/12/2025,3.0,Cao cấp
3.2,168.42,19.0,Quận 4,13,2.0,1,3.1,2.0,0,29/12/2025,2.0,Bình dân
5.55,61.53,90.2,Quận 4,4,3.0,0,5.0,1.0,1,29/12/2025,3.0,Bình dân
6.3,70.0,90.0,Quận 4,4,3.0,0,3.9,4.0,1,29/12/2025,3.0,Bình dân
5.2,104.0,50.0,Quận 4,8,3.0,0,4.35,4.0,1,29/12/2025,3.0,Trung cấp
3.5,70.0,50.0,Quận 4,18,3.0,0,5.0,3.0,1,29/12/2025,3.0,Bình dân
4.6,88.46,52.0,Quận 4,8,3.0,0,4.0,1.0,1,29/12/2025,3.0,Bình dân
6.99,139.8,50.0,Quận 4,1,3.0,0,4.0,1.0,1,29/12/2025,3.0,Cao cấp
10.9,81.34,134.0,Quận 4,4,3.0,0,8.0,1.0,1,29/12/2025,3.0,Bình dân
3.5,154.87,22.6,Quận 4,13,2.0,1,2.0,3.5,0,29/12/2025,2.0,Bình dân
6.6,129.41,51.0,Quận 4,2,3.0,0,3.8,1.5,1,29/12/2025,3.0,Cao cấp
5.95,75.8,78.5,Quận 4,13,4.0,0,5.0,2.0,1,29/12/2025,4.0,Bình dân
1.78,28.71,62.0,Quận 4,4,3.0,0,4.5,2.0,1,29/12/2025,3.0,Bình dân
13.7,206.33,66.4,Quận 4,13,2.0,1,4.29,2.5,0,28/12/2025,2.0,Bình dân
3.38,46.81,72.2,Quận 4,13,4.0,1,5.0,3.0,0,28/12/2025,4.0,Bình dân
13.0,146.07,89.0,Quận 4,15,4.0,1,4.5,4.5,0,28/12/2025,4.0,Bình dân
3.65,91.25,40.0,Quận 4,2,3.0,0,4.0,2.0,1,28/12/2025,3.0,Bình dân
6.6,106.45,62.0,Quận 4,3,4.0,0,3.9,1.0,1,28/12/2025,4.0,Trung cấp
7.79,111.29,70.0,Quận 4,18,3.0,0,5.0,1.0,1,28/12/2025,3.0,Cao cấp
4.55,211.63,21.5,Quận 4,3,2.0,1,3.0,3.0,0,28/12/2025,2.0,Bình dân
16.5,220.0,75.0,Quận 4,1,3.0,1,20.0,1.0,0,28/12/2025,3.0,Trung cấp
6.3,150.0,42.0,Quận 4,4,5.0,0,3.2,4.5,1,28/12/2025,5.0,Cao cấp
5.0,104.17,48.0,Quận 4,13,4.0,0,4.0,3.5,1,28/12/2025,4.0,Trung cấp
4.3,204.76,21.0,Quận 4,13,2.0,0,3.0,3.0,1,28/12/2025,2.0,VIP
5.2,192.59,27.0,Quận 4,10,2.0,1,3.0,3.5,0,28/12/2025,2.0,Bình dân
8.3,122.06,68.0,Quận 4,13,4.0,1,6.0,3.0,0,28/12/2025,4.0,Bình dân
7.86,112.29,70.0,Quận 4,15,4.0,1,3.55,4.0,0,27/12/2025,4.0,Bình dân
3.59,49.04,73.2,Quận 4,8,3.0,0,5.0,3.5,1,27/12/2025,3.0,Bình dân
2.5,104.17,24.0,Quận 4,8,2.0,0,3.0,2.0,1,27/12/2025,2.0,Trung cấp
3.5,106.06,33.0,Quận 4,8,3.0,0,3.0,3.5,1,27/12/2025,3.0,Trung cấp
2.1,38.18,55.0,Quận 4,4,3.0,1,5.0,2.0,0,27/12/2025,3.0,Bình dân
7.8,115.73,67.4,Quận 4,4,4.0,1,6.0,2.0,0,27/12/2025,4.0,Bình dân
8.5,177.08,48.0,Quận 4,13,3.0,1,6.5,4.5,0,27/12/2025,3.0,Bình dân
1.9,38.0,50.0,Quận 4,13,2.0,1,4.0,2.0,0,27/12/2025,2.0,Bình dân
7.99,114.14,70.0,Quận 4,15,3.0,1,3.6,3.0,0,27/12/2025,3.0,Bình dân
8.3,123.15,67.4,Quận 4,13,3.0,0,6.0,1.0,1,27/12/2025,3.0,Cao cấp
2.29,38.17,60.0,Quận 4,15,3.0,0,4.0,2.0,1,27/12/2025,3.0,Bình dân
3.99,55.42,72.0,Quận 4,9,4.0,0,4.5,3.0,1,27/12/2025,4.0,Bình dân
5.8,96.67,60.0,Quận 4,14,3.0,1,3.5,1.0,0,27/12/2025,3.0,Bình dân
12.4,152.33,81.4,Quận 4,13,3.0,1,2.5,5.0,0,27/12/2025,3.0,Bình dân
4.3,204.76,21.0,Quận 4,8,2.0,1,4.0,3.0,0,27/12/2025,2.0,Bình dân
4.7,116.92,40.2,Quận 4,13,3.0,1,3.4,2.0,0,27/12/2025,3.0,Bình dân
2.7,197.08,13.7,Quận 4,8,2.0,1,3.0,3.0,0,27/12/2025,2.0,Bình dân
5.9,89.39,66.0,Quận 4,2,3.0,1,4.2,2.0,0,27/12/2025,3.0,Bình dân
4.75,148.44,32.0,Quận 4,2,3.0,0,4.0,3.0,1,27/12/2025,3.0,Cao cấp
4.45,202.27,22.0,Quận 4,8,4.0,0,3.0,4.0,1,27/12/2025,4.0,VIP
6.55,106.5,61.5,Quận 4,3,2.0,1,3.9,2.0,0,26/12/2025,2.0,Bình dân
21.5,77.73,276.6,Quận 4,16,3.0,1,9.3,2.0,0,26/12/2025,4.0,Bình dân
30.0,176.47,170.0,Quận 4,13,3.0,1,13.0,3.0,0,26/12/2025,4.0,Bình dân
29.0,170.59,170.0,Quận 4,13,3.0,1,12.0,3.0,0,26/12/2025,3.0,Bình dân
4.95,198.0,25.0,Quận 4,10,2.0,0,3.3,5.0,1,26/12/2025,2.0,VIP
5.8,96.67,60.0,Quận 4,16,3.0,0,3.3,1.5,1,26/12/2025,3.0,Trung cấp
30.0,171.43,175.0,Quận 4,15,3.0,1,5.0,2.0,0,26/12/2025,3.0,Bình dân
4.8,271.19,17.7,Quận 4,8,1.0,1,4.8,2.0,0,26/12/2025,1.0,Cao cấp
8.4,113.51,74.0,Quận 4,14,3.0,1,3.9,2.0,0,26/12/2025,3.0,Bình dân
8.5,212.5,40.0,Quận 4,16,4.0,1,5.0,4.0,0,26/12/2025,3.0,Trung cấp
8.29,204.19,40.6,Quận 4,13,4.0,1,5.0,3.5,0,26/12/2025,4.0,Bình dân
28.0,164.71,170.0,Quận 4,13,3.0,1,13.0,3.0,0,26/12/2025,3.0,Bình dân
8.5,188.89,45.0,Quận 4,3,5.0,0,10.0,4.0,1,26/12/2025,5.0,VIP
9.4,261.11,36.0,Quận 4,4,3.0,1,8.0,4.5,0,26/12/2025,3.0,Cao cấp
2.89,117.96,24.5,Quận 4,16,2.0,1,4.7,2.0,0,26/12/2025,2.0,Bình dân
12.0,240.0,50.0,Quận 4,13,4.0,1,4.85,4.5,0,26/12/2025,4.0,Trung cấp
17.5,282.26,62.0,Quận 4,2,5.0,1,30.0,4.0,0,26/12/2025,5.0,Cao cấp
4.3,204.76,21.0,Quận 4,9,2.0,0,4.0,3.0,1,26/12/2025,2.0,VIP
4.3,204.76,21.0,Quận 4,2,2.0,0,3.0,2.0,1,25/12/2025,2.0,VIP
4.25,106.25,40.0,Quận 4,8,3.0,0,4.0,3.5,1,25/12/2025,3.0,Trung cấp
27.0,200.0,135.0,Quận 4,4,3.0,1,4.1,1.0,0,25/12/2025,3.0,Bình dân
5.0,104.17,48.0,Quận 4,13,4.0,0,5.0,3.5,1,25/12/2025,4.0,Trung cấp
4.35,103.57,42.0,Quận 4,14,2.0,1,4.2,3.5,0,25/12/2025,2.0,Bình dân
5.7,81.43,70.0,Quận 4,15,2.0,1,6.0,2.0,0,25/12/2025,2.0,Bình dân
4.7,195.83,24.0,Quận 4,9,4.0,0,3.0,4.0,1,25/12/2025,4.0,VIP
7.5,150.0,50.0,Quận 4,6,3.0,0,6.4,4.0,1,25/12/2025,3.0,Cao cấp
6.3,70.0,90.0,Quận 4,16,3.0,1,3.2,4.0,0,25/12/2025,3.0,Bình dân
6.9,160.47,43.0,Quận 4,4,3.0,0,3.7,2.5,1,25/12/2025,3.0,Cao cấp
5.8,96.67,60.0,Quận 4,14,3.0,0,3.4,3.0,1,25/12/2025,3.0,Trung cấp
13.2,123.36,107.0,Quận 4,1,3.0,0,8.0,1.0,1,25/12/2025,3.0,Cao cấp
6.5,108.33,60.0,Quận 4,16,3.0,0,4.0,3.5,1,25/12/2025,3.0,Trung cấp
10.0,53.19,188.0,Quận 4,18,9.0,1,9.5,4.0,0,25/12/2025,9.0,Bình dân
5.85,225.0,26.0,Quận 4,10,2.0,1,3.03,2.0,0,25/12/2025,2.0,Trung cấp
2.5,89.29,28.0,Quận 4,15,2.0,0,4.0,2.0,1,25/12/2025,2.0,Bình dân
10.0,166.67,60.0,Quận 4,14,9.0,1,5.0,4.0,0,25/12/2025,9.0,Bình dân
9.99,285.43,35.0,Quận 4,4,5.0,1,5.0,5.0,0,25/12/2025,5.0,Cao cấp
12.0,187.5,64.0,Quận 4,13,3.0,1,4.0,4.5,0,25/12/2025,3.0,Bình dân
12.4,281.82,44.0,Quận 4,13,5.0,1,4.0,4.0,0,25/12/2025,5.0,Cao cấp
6.2,295.24,21.0,Quận 4,4,2.0,1,6.0,3.0,0,25/12/2025,2.0,Cao cấp
3.0,46.15,65.0,Quận 4,13,3.0,1,5.2,2.5,0,25/12/2025,3.0,Bình dân
4.1,136.67,30.0,Quận 4,16,3.0,0,5.0,1.0,1,25/12/2025,3.0,Cao cấp
2.7,197.08,13.7,Quận 4,8,2.0,0,2.0,3.0,1,24/12/2025,2.0,VIP
5.8,98.98,58.6,Quận 4,2,3.0,0,3.3,2.0,1,24/12/2025,3.0,Trung cấp
2.1,44.49,47.2,Quận 4,13,4.0,0,3.8,2.0,1,24/12/2025,4.0,Bình dân
4.9,74.24,66.0,Quận 4,13,3.0,1,5.3,2.0,0,24/12/2025,3.0,Bình dân
5.3,75.71,70.0,Quận 4,4,2.0,1,3.5,1.0,0,24/12/2025,2.0,Bình dân
8.3,122.06,68.0,Quận 4,4,4.0,1,6.0,4.0,0,24/12/2025,4.0,Bình dân
3.48,40.56,85.8,Quận 4,13,4.0,0,5.2,3.5,1,24/12/2025,4.0,Bình dân
4.7,196.65,23.9,Quận 4,10,4.0,0,3.01,4.0,1,24/12/2025,4.0,VIP
6.3,300.0,21.0,Quận 4,4,2.0,0,6.0,4.0,1,24/12/2025,2.0,VIP
4.0,133.33,30.0,Quận 4,2,3.0,0,3.6,2.5,1,24/12/2025,3.0,Cao cấp
4.7,117.5,40.0,Quận 4,13,2.0,0,3.4,2.0,1,24/12/2025,2.0,Cao cấp
7.86,71.45,110.0,Quận 4,18,5.0,1,5.9,1.0,0,24/12/2025,5.0,Bình dân
5.1,242.86,21.0,Quận 4,9,2.0,1,3.0,3.5,0,24/12/2025,2.0,Trung cấp
18.5,205.56,90.0,Quận 4,18,3.0,1,4.0,5.5,0,24/12/2025,3.0,Bình dân
5.8,152.63,38.0,Quận 4,9,2.0,0,6.9,2.0,1,24/12/2025,2.0,Cao cấp
11.5,66.47,173.0,Quận 4,13,3.0,1,12.0,1.0,0,24/12/2025,3.0,Bình dân
